,address,type,datetime,latitude,longitude,report_location,incident_number
7246,1201 Summit Ave,Aid Response,2026-01-18T09:46:00.000,47.611694,-122.324223,"{'type': 'Point', 'coordinates': [-122.324223, 47.611694]}",F260008360
7247,515 Madison St,Rescue Elevator,2026-01-18T09:46:00.000,47.606624,-122.331628,"{'type': 'Point', 'coordinates': [-122.331628, 47.606624]}",F260008361
7248,Rainier Ave S / S Plum St,Aid Response,2026-01-18T09:43:00.000,47.585498,-122.303605,"{'type': 'Point', 'coordinates': [-122.303605, 47.585498]}",F260008358
7249,2505 E Yesler Way,Aid Response,2026-01-18T09:41:00.000,47.601663,-122.299917,"{'type': 'Point', 'coordinates': [-122.299917, 47.601663]}",F260008356
7250,11511 5th Ave Ne,Medic Response,2026-01-18T09:41:00.000,47.712324,-122.323384,"{'type': 'Point', 'coordinates': [-122.323384, 47.712324]}",F260008357
7251,8337 26th Ave Nw,Aid Response,2026-01-18T09:32:00.000,47.689289,-122.389793,"{'type': 'Point', 'coordinates': [-122.389793, 47.689289]}",F260008355
7252,117 Yale Ave N,Medic Response,2026-01-18T09:25:00.000,47.618881,-122.330414,"{'type': 'Point', 'coordinates': [-122.330414, 47.618881]}",F260008354
7253,2147 N 62ND ST,Aid Response,2026-01-18T09:24:00.000,47.673683,-122.332914,"{'type': 'Point', 'coordinates': [-122.332914, 47.673683]}",F260008353
7254,8610 Aurora Ave N,Aid Response,2026-01-18T09:20:00.000,47.691354,-122.344532,"{'type': 'Point', 'coordinates': [-122.344532, 47.691354]}",F260008351
7255,113 Nw 101st St,Aid Response Yellow,2026-01-18T09:19:00.000,47.702201,-122.358242,"{'type': 'Point', 'coordinates': [-122.358242, 47.702201]}",F260008350
7256,10000 Holman Rd Nw,Aid Response,2026-01-18T09:10:00.000,47.701727,-122.362067,"{'type': 'Point', 'coordinates': [-122.362067, 47.701727]}",F260008349
7257,6720 East Green Lake Way N,Medic Response,2026-01-18T09:01:00.000,47.67834,-122.32895,"{'type': 'Point', 'coordinates': [-122.32895, 47.67834]}",F260008347
7258,6955 Delridge Way Sw,Investigate Out Of Service,2026-01-18T08:53:00.000,47.540392,-122.360774,"{'type': 'Point', 'coordinates': [-122.360774, 47.540392]}",F260008346
7259,165 Western Ave W,MVI Medic,2026-01-18T08:47:00.000,47.619509,-122.358884,"{'type': 'Point', 'coordinates': [-122.358884, 47.619509]}",F260008344
